SMILES;cpd;ChEBI;compoundname;value_NR_AR;label_NR_AR;value_NR_AR_LBD;label_NR_AR_LBD;value_NR_AhR;label_NR_AhR;value_NR_Aromatase;label_NR_Aromatase;value_NR_ER;label_NR_ER;value_NR_ER_LBD;label_NR_ER_LBD;value_NR_PPAR_gamma;label_NR_PPAR_gamma;value_NR_GR;label_NR_GR;value_NR_TR;label_NR_TR;value_SR_ARE;label_SR_ARE;value_SR_ATAD5;label_SR_ATAD5;value_SR_HSE;label_SR_HSE;value_SR_MMP;label_SR_MMP;value_SR_p53;label_SR_p53;value_Gen_AMES_Mutagenesis;label_Gen_AMES_Mutagenesis;value_Gen_Carcinogenesis;label_Gen_Carcinogenesis;value_Gen_Micronucleus;label_Gen_Micronucleus;value_Env_Fathead_Minnow;label_Env_Fathead_Minnow;value_Env_T_Pyriformis;label_Env_T_Pyriformis;value_Env_Honey_Bee;label_Env_Honey_Bee;value_Env_Biodegradation;label_Env_Biodegradation;value_Env_Crustacean;label_Env_Crustacean;value_Env_Avian;label_Env_Avian;value_Org_Skin_Sensitisation;label_Org_Skin_Sensitisation;value_Org_hERG_I_Inhibitor;label_Org_hERG_I_Inhibitor;value_Org_hERG_II_Inhibitor;label_Org_hERG_II_Inhibitor;value_Org_Liver_Injury_I;label_Org_Liver_Injury_I;value_Org_Liver_Injury_II;label_Org_Liver_Injury_II;value_Org_Eye_Irritation;label_Org_Eye_Irritation;value_Org_Eye_Corrosion;label_Org_Eye_Corrosion;value_Org_Respiratory_Disease;label_Org_Respiratory_Disease
c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c34;C19222;82313;Dibenzo[a.h]pyrene;0.19;Medium Safety;0.32;Medium Safety;0.98;High Toxicity;0.33;Medium Safety;0.26;Medium Safety;0.07;High Safety;0.06;High Safety;0.42;Low Safety;0.08;High Safety;0.71;Medium Toxicity;0.11;High Safety;0.37;Low Safety;0.58;Low Toxicity;0.63;Low Toxicity;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.96;High Toxicity;0.99;High Toxicity;0.5;Low Toxicity;0.01;High Safety;1;High Toxicity;0.44;Low Safety;0.95;High Toxicity;0.14;High Safety;0.61;Low Toxicity;0.48;Low Safety;0.29;Medium Safety;1;High Toxicity;0.49;Low Safety;0.22;Medium Safety
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34;C07535;29865;Benzo[a]pyrene;0;High Safety;1;High Toxicity;0.98;High Toxicity;0.16;High Safety;0.31;Medium Safety;0.11;High Safety;0.62;Low Toxicity;0.79;Medium Toxicity;0.45;Low Safety;0.88;High Toxicity;0.06;High Safety;1;High Toxicity;0.87;High Toxicity;0.59;Low Toxicity;0.98;High Toxicity;0.15;High Safety;0.5;Low Toxicity;1;High Toxicity;1;High Toxicity;0.33;Medium Safety;0.01;High Safety;0.99;High Toxicity;0.44;Low Safety;1;High Toxicity;0.18;Medium Safety;0.52;Low Toxicity;0.48;Low Safety;0.28;Medium Safety;1;High Toxicity;0.54;Low Toxicity;0;High Safety
c1ccc2c(c1)ccc1c3ccccc3ccc21;C14222;51687;Chrysene;0;High Safety;0;High Safety;0.97;High Toxicity;0.41;Low Safety;0.37;Low Safety;0.21;Medium Safety;0.04;High Safety;0.05;High Safety;0.68;Medium Toxicity;0.86;High Toxicity;0.09;High Safety;0;High Safety;0.22;Medium Safety;0.18;Medium Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.99;High Toxicity;1;High Toxicity;0;High Safety;0.01;High Safety;1;High Toxicity;0.46;Low Safety;0.96;High Toxicity;0.21;Medium Safety;0.49;Low Safety;0.56;Low Toxicity;0.3;Medium Safety;0.99;High Toxicity;0.52;Low Toxicity;0.2;Medium Safety
c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21;C14325;35299;Dibenz[a.h]anthracene;0;High Safety;0;High Safety;0.99;High Toxicity;0.38;Low Safety;0.33;Medium Safety;0.31;Medium Safety;0.05;High Safety;0.17;Medium Safety;0.04;High Safety;0.74;Medium Toxicity;0.63;Low Toxicity;0.16;High Safety;0.26;Medium Safety;0.76;Medium Toxicity;0.93;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.96;High Toxicity;1;High Toxicity;0.67;Medium Toxicity;0.01;High Safety;0.99;High Toxicity;0.42;Low Safety;0.97;High Toxicity;0.17;Medium Safety;0.52;Low Toxicity;0.56;Low Toxicity;0.26;Medium Safety;1;High Toxicity;0.49;Low Safety;0.2;Medium Safety
c1ccc2c(c1)ccc1ccccc21;C11422;28851;Phenanthrene;0;High Safety;0;High Safety;0.08;High Safety;0;High Safety;0.29;Medium Safety;0.11;High Safety;0.04;High Safety;0.04;High Safety;0.01;High Safety;0.07;High Safety;0.03;High Safety;0;High Safety;0;High Safety;0.14;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.99;High Toxicity;1;High Toxicity;0;High Safety;0.33;Medium Safety;0.99;High Toxicity;0.13;High Safety;0.89;High Toxicity;0.23;Medium Safety;0.32;Medium Safety;0.04;High Safety;0.34;Low Safety;0.99;High Toxicity;0.82;Medium Toxicity;0.17;Medium Safety
c1ccc2c(c1)oc1ccccc21;C07729;28145;Dibenzofuran;0;High Safety;0;High Safety;0.08;High Safety;0;High Safety;0.15;High Safety;0.01;High Safety;0.04;High Safety;0.01;High Safety;0.05;High Safety;0.13;High Safety;0.03;High Safety;0;High Safety;0.05;High Safety;0.04;High Safety;0;High Safety;0.15;High Safety;0.53;Low Toxicity;1;High Toxicity;1;High Toxicity;0.49;Low Safety;0.11;High Safety;0.8;Medium Toxicity;0.01;High Safety;0.67;Medium Toxicity;0.19;Medium Safety;0.13;High Safety;0.08;High Safety;0.24;Medium Safety;0.98;High Toxicity;0.56;Low Toxicity;0.23;Medium Safety
c1ccc2cc-3c(cc2c1)-c1cccc2cccc-3c12;C14321;34569;Benzo[k]fluoranthene;0;High Safety;0.16;High Safety;0.93;High Toxicity;0.07;High Safety;0.57;Low Toxicity;0.14;High Safety;0.04;High Safety;0.82;Medium Toxicity;0.04;High Safety;0.55;Low Toxicity;0.17;Medium Safety;0.2;Medium Safety;0.42;Low Safety;0.42;Low Safety;1;High Toxicity;0.15;High Safety;0.49;Low Safety;1;High Toxicity;1;High Toxicity;0.54;Low Toxicity;0.02;High Safety;0.99;High Toxicity;0.38;Low Safety;0.91;High Toxicity;0.14;High Safety;0.54;Low Toxicity;0.58;Low Toxicity;0.27;Medium Safety;1;High Toxicity;0.55;Low Toxicity;0.18;Medium Safety
c1ccc2cc3c(ccc4ccccc34)cc2c1;C14317;51348;Benz[a]anthracene;1;High Toxicity;0;High Safety;0.99;High Toxicity;0.09;High Safety;0.31;Medium Safety;0.45;Low Safety;0.05;High Safety;0.22;Medium Safety;0.68;Medium Toxicity;0.76;Medium Toxicity;0.61;Low Toxicity;0;High Safety;0.9;High Toxicity;0.36;Low Safety;1;High Toxicity;0.15;High Safety;0.49;Low Safety;0.98;High Toxicity;1;High Toxicity;0.54;Low Toxicity;0.01;High Safety;0.99;High Toxicity;0.43;Low Safety;0.98;High Toxicity;0.18;Medium Safety;0.49;Low Safety;0.47;Low Safety;0.23;Medium Safety;0.99;High Toxicity;0.54;Low Toxicity;0.18;Medium Safety
c1ccc2cc3ccccc3cc2c1;C14315;35298;Anthracene;0;High Safety;0;High Safety;0.72;Medium Toxicity;0.08;High Safety;0.4;Low Safety;0.22;Medium Safety;0.03;High Safety;0.23;Medium Safety;0.01;High Safety;0.08;High Safety;0.03;High Safety;0;High Safety;0.8;Medium Toxicity;0.16;High Safety;1;High Toxicity;0.15;High Safety;0.49;Low Safety;0.97;High Toxicity;1;High Toxicity;0.51;Low Toxicity;0.18;Medium Safety;0.96;High Toxicity;0.01;High Safety;0.89;High Toxicity;0.21;Medium Safety;0.36;Low Safety;0.62;Low Toxicity;0.34;Low Safety;0.98;High Toxicity;0.82;Medium Toxicity;0;High Safety
c1ccc2ccccc2c1;C00829;16482;Naphthalene;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.17;Medium Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.97;High Toxicity;0.97;High Toxicity;0;High Safety;0.25;Medium Safety;1;High Toxicity;0.01;High Safety;0.81;Medium Toxicity;0.13;High Safety;0.14;High Safety;0.44;Low Safety;0.38;Low Safety;0.98;High Toxicity;0.95;High Toxicity;0.15;High Safety
c1ccccc1;C01407;16716;Benzene;0;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0.02;High Safety;0.02;High Safety;0.11;High Safety;0;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.52;Low Toxicity;1;High Toxicity;0.42;Low Safety;0.53;Low Toxicity;1;High Toxicity;0.01;High Safety;0.87;High Toxicity;0.09;High Safety;0.29;Medium Safety;0;High Safety;0.34;Low Safety;0.99;High Toxicity;0.94;High Toxicity;0.29;Medium Safety
c1ccncc1;C00747;16227;Pyridine;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.14;High Safety;0.5;Low Toxicity;0.09;High Safety;0.39;Low Safety;0.51;Low Toxicity;0.51;Low Toxicity;0;High Safety;0.01;High Safety;1;High Toxicity;0.04;High Safety;0.42;Low Safety;0.21;Medium Safety;0.28;Medium Safety;0.97;High Toxicity;0.97;High Toxicity;0;High Safety
C1CN1;C11687;30969;Aziridine;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.04;High Safety;0.4;Low Safety;1;High Toxicity;0.82;Medium Toxicity;0.15;High Safety;0.01;High Safety;0.45;Low Safety;0.09;High Safety;0.34;Low Safety;0;High Safety;0.31;Medium Safety;0.89;High Toxicity;0.76;Medium Toxicity;0.55;Low Toxicity
C1CO1;C06548;27561;Ethylene oxide;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.01;High Safety;0.37;Low Safety;1;High Toxicity;0.86;High Toxicity;0.15;High Safety;0.01;High Safety;0.61;Low Toxicity;0.02;High Safety;0.29;Medium Safety;0.16;High Safety;0.24;Medium Safety;0.96;High Toxicity;0.7;Medium Toxicity;0.08;High Safety
C1COCCO1;C14440;47032;1.4-Dioxane;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0;High Safety;0.41;Low Safety;1;High Toxicity;0.24;Medium Safety;0.04;High Safety;0.01;High Safety;0.64;Low Toxicity;0.02;High Safety;0.28;Medium Safety;0.03;High Safety;0.23;Medium Safety;0.96;High Toxicity;0.85;High Toxicity;0;High Safety
C1OC1c1ccccc1;C02083;17907;Styrene oxide;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.06;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0.07;High Safety;0.04;High Safety;0;High Safety;0;High Safety;0;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.51;Low Toxicity;0.96;High Toxicity;0.34;Low Safety;0.57;Low Toxicity;0;High Safety;0.01;High Safety;0.87;High Toxicity;0;High Safety;0.09;High Safety;0.66;Low Toxicity;0.59;Low Toxicity;0.99;High Toxicity;0.89;High Toxicity;0.27;Medium Safety
CC(=C)C=C;C16521;35194;Isoprene;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.01;High Safety;0.01;High Safety;0.07;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.32;Medium Safety;0.16;High Safety;0.72;Medium Toxicity;0.33;Medium Safety;1;High Toxicity;0.01;High Safety;0.32;Medium Safety;0.05;High Safety;0.36;Low Safety;0;High Safety;0.35;Low Safety;0.99;High Toxicity;0.97;High Toxicity;0.12;High Safety
CC(=C)c1ccccc1;C14395;35060;alpha-Methylstyrene;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.07;High Safety;0.01;High Safety;0.01;High Safety;0.01;High Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.88;High Toxicity;0.83;Medium Toxicity;0.61;Low Toxicity;0.19;Medium Safety;1;High Toxicity;0;High Safety;0.86;High Toxicity;0.15;High Safety;0.08;High Safety;0.05;High Safety;0.54;Low Toxicity;1;High Toxicity;0.92;High Toxicity;0;High Safety
CC(=O)O[Hg]c1ccccc1;C11151;27684;Phenylmercury acetate;0;High Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0.09;High Safety;0.61;Low Toxicity;0.79;Medium Toxicity;0.01;High Safety;0.06;High Safety;0.84;High Toxicity;0;High Safety;1;High Toxicity;0.01;High Safety;0.77;Medium Toxicity;0.31;Medium Safety;0.15;High Safety;0.49;Low Safety;0.39;Low Safety;0.8;Medium Toxicity;0.03;High Safety;0.71;Medium Toxicity;0.12;High Safety;0.01;High Safety;0.58;Low Toxicity;0.01;High Safety;0.03;High Safety;0.91;High Toxicity;0.46;Low Safety;1;High Toxicity;0.94;High Toxicity;0.27;Medium Safety
CC(=O)OC=C;C19309;46916;Vinyl acetate;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.1;High Safety;0.5;Low Toxicity;0.34;Low Safety;0;High Safety;0.5;Low Toxicity;0.97;High Toxicity;0.19;Medium Safety;0.08;High Safety;0.91;High Toxicity;0.04;High Safety;0.17;Medium Safety;0;High Safety;0.42;Low Safety;0.99;High Toxicity;0.98;High Toxicity;0;High Safety
CC(C)(C)CC(C)(C)c1ccc(O)cc1;C14205;34445;4-tert-Octylphenol;0;High Safety;0;High Safety;0.09;High Safety;0;High Safety;0.52;Low Toxicity;0.64;Low Toxicity;0.01;High Safety;0.1;High Safety;0.08;High Safety;0.12;High Safety;0.01;High Safety;0.07;High Safety;0.99;High Toxicity;0.02;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;1;High Toxicity;1;High Toxicity;0;High Safety;0.11;High Safety;0.89;High Toxicity;0.01;High Safety;0.78;Medium Toxicity;0.14;High Safety;0.04;High Safety;0;High Safety;0.43;Low Safety;0.99;High Toxicity;0.42;Low Safety;0.31;Medium Safety
CC(C)[N+]([O-])=O;C02116;16037;2-Nitropropane;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.05;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.08;High Safety;0.01;High Safety;0;High Safety;0.05;High Safety;0;High Safety;1;High Toxicity;0;High Safety;0.49;Low Safety;0.39;Low Safety;0.49;Low Safety;0.63;Low Toxicity;0.32;Medium Safety;0.38;Low Safety;0.01;High Safety;0.78;Medium Toxicity;0.02;High Safety;0.54;Low Toxicity;0;High Safety;0.51;Low Toxicity;1;High Toxicity;0.83;Medium Toxicity;0;High Safety
CC(C)=CCCC(=C)C=C;C06074;17221;Myrcene;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.01;High Safety;0.04;High Safety;0;High Safety;0.1;High Safety;0.01;High Safety;1;High Toxicity;0;High Safety;0;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.92;High Toxicity;0.82;Medium Toxicity;0.65;Low Toxicity;0.86;High Toxicity;1;High Toxicity;0;High Safety;0.56;Low Toxicity;0.12;High Safety;0.19;Medium Safety;0.16;High Safety;0.48;Low Safety;0.98;High Toxicity;0.77;Medium Toxicity;0.05;High Safety
CC(C)=CCl;C19206;82300;1-Chloro-2-methylpropene;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.01;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0;High Safety;0.86;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.73;Medium Toxicity;0.34;Low Safety;0.8;Medium Toxicity;0.19;Medium Safety;0.37;Low Safety;0.01;High Safety;0.36;Low Safety;0.04;High Safety;0.37;Low Safety;0;High Safety;0.32;Medium Safety;0.99;High Toxicity;0.97;High Toxicity;0.15;High Safety
CC(C)=O;C00207;15347;Acetone;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.04;High Safety;0;High Safety;0.14;High Safety;0.98;High Toxicity;0;High Safety;0.02;High Safety;0.78;Medium Toxicity;0.04;High Safety;0.17;Medium Safety;0;High Safety;0.31;Medium Safety;0.98;High Toxicity;0.93;High Toxicity;0;High Safety
CC(C)c1ccc(NC(=O)N(C)C)cc1;C11005;6049;Isoproturon;0;High Safety;0;High Safety;0.6;Low Toxicity;0.02;High Safety;0.1;High Safety;0.02;High Safety;0.01;High Safety;0.01;High Safety;0.01;High Safety;0.01;High Safety;0.01;High Safety;0.03;High Safety;0.06;High Safety;0.02;High Safety;0.49;Low Safety;0.15;High Safety;0.53;Low Toxicity;0.99;High Toxicity;0.99;High Toxicity;0.32;Medium Safety;0.32;Medium Safety;0.77;Medium Toxicity;0.01;High Safety;0.62;Low Toxicity;0.01;High Safety;0.14;High Safety;0.33;Medium Safety;0.26;Medium Safety;0.03;High Safety;0.08;High Safety;0.62;Low Toxicity
CC(C)c1ccccc1;C14396;34656;Cumene;0.01;High Safety;0.06;High Safety;0.03;High Safety;0;High Safety;0.07;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.05;High Safety;0.03;High Safety;0;High Safety;0;High Safety;0.15;High Safety;0.49;Low Safety;0.94;High Toxicity;1;High Toxicity;0.68;Medium Toxicity;0.32;Medium Safety;1;High Toxicity;0.01;High Safety;0.7;Medium Toxicity;0.01;High Safety;0.18;Medium Safety;0.2;Medium Safety;0.61;Low Toxicity;0.98;High Toxicity;0.92;High Toxicity;0.26;Medium Safety
CC(C)CC(C)=O;C19263;82344;Methyl isobutyl ketone;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.04;High Safety;0;High Safety;0.68;Medium Toxicity;0.91;High Toxicity;0.21;Medium Safety;0.01;High Safety;0.85;High Toxicity;0.06;High Safety;0.13;High Safety;0.02;High Safety;0.49;Low Safety;0.99;High Toxicity;0.99;High Toxicity;0.11;High Safety
CC(C)N1C(=O)c2ccccc2NS1(=O)=O;C10965;3018;Bentazone;0;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0.14;High Safety;0.01;High Safety;0.01;High Safety;0.04;High Safety;0.02;High Safety;0.13;High Safety;0;High Safety;0;High Safety;0.68;Medium Toxicity;0.11;High Safety;0.41;Low Safety;0.34;Low Safety;0.5;Low Toxicity;0.55;Low Toxicity;0.91;High Toxicity;0;High Safety;0.05;High Safety;0;High Safety;0.01;High Safety;0.61;Low Toxicity;0.02;High Safety;0.1;High Safety;0.1;High Safety;0.09;High Safety;0.04;High Safety;0.03;High Safety;0.54;Low Toxicity
CC(Cl)(Cl)Cl;C18246;36015;1.1.1-Trichloroethane;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.03;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.87;High Toxicity;0.8;Medium Toxicity;0.81;Medium Toxicity;0.02;High Safety;0.31;Medium Safety;0.01;High Safety;0.51;Low Toxicity;0.08;High Safety;0.49;Low Safety;0.01;High Safety;0.36;Low Safety;0.99;High Toxicity;0.92;High Toxicity;0;High Safety
CC(N)=S;C19302;32497;Thioacetamide;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0.02;High Safety;0.04;High Safety;0;High Safety;0;High Safety;0.02;High Safety;0.01;High Safety;0.11;High Safety;0.15;High Safety;0.5;Low Toxicity;0.17;Medium Safety;0.13;High Safety;0.64;Low Toxicity;0.18;Medium Safety;0.45;Low Safety;0.01;High Safety;0.49;Low Safety;0.19;Medium Safety;0.38;Low Safety;0;High Safety;0.25;Medium Safety;0.92;High Toxicity;0.9;High Toxicity;0.42;Low Safety
CC(Oc1ccc(Cl)cc1)C(O)=O;C13701;34603;2-(4-Chlorophenoxy)propionic acid;0;High Safety;0;High Safety;0.04;High Safety;0.01;High Safety;0.08;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0.03;High Safety;0.06;High Safety;0.15;High Safety;0.49;Low Safety;0.88;High Toxicity;0.47;Low Safety;0.02;High Safety;0.2;Medium Safety;0.04;High Safety;0;High Safety;0.25;Medium Safety;0.01;High Safety;0.09;High Safety;0.67;Medium Toxicity;0.08;High Safety;0.91;High Toxicity;0.48;Low Safety;0.41;Low Safety
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C;C05086;4031;Cyclosporin A;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.22;Medium Safety;0.01;High Safety;0.01;High Safety;0.15;High Safety;0.09;High Safety;0.71;Medium Toxicity;0.02;High Safety;0.01;High Safety;0.26;Medium Safety;0.16;High Safety;0;High Safety;0.8;Medium Toxicity;0.51;Low Toxicity;0.91;High Toxicity;0.96;High Toxicity;0.61;Low Toxicity;0.02;High Safety;0.7;Medium Toxicity;0;High Safety;0.46;Low Safety;0.21;Medium Safety;0.26;Medium Safety;0.87;High Toxicity;0.16;High Safety;0.05;High Safety;0;High Safety;0.7;Medium Toxicity
CC\C(c1ccc(O)cc1)=C(\CC)c1ccc(O)cc1;C07620;41922;Diethylstilbestrol;0;High Safety;0;High Safety;0.32;Medium Safety;0;High Safety;0.95;High Toxicity;0.97;High Toxicity;0.02;High Safety;0.98;High Toxicity;0.22;Medium Safety;0.87;High Toxicity;0.12;High Safety;1;High Toxicity;1;High Toxicity;0.74;Medium Toxicity;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.98;High Toxicity;0.98;High Toxicity;0.55;Low Toxicity;0.27;Medium Safety;0.72;Medium Toxicity;0.15;High Safety;0.7;Medium Toxicity;0.08;High Safety;0.32;Medium Safety;0.02;High Safety;0.39;Low Safety;0.46;Low Safety;0;High Safety;0.41;Low Safety
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1;C07108;41774;Tamoxifen;0.04;High Safety;0;High Safety;0.03;High Safety;0.61;Low Toxicity;0.15;High Safety;0.03;High Safety;0.12;High Safety;0.22;Medium Safety;0.24;Medium Safety;0.27;Medium Safety;0.02;High Safety;0.11;High Safety;0.34;Low Safety;0.02;High Safety;0.07;High Safety;0.15;High Safety;0.5;Low Toxicity;0.99;High Toxicity;0.94;High Toxicity;0.71;Medium Toxicity;0.71;Medium Toxicity;0.92;High Toxicity;0.22;Medium Safety;0.67;Medium Toxicity;0.33;Medium Safety;0.77;Medium Toxicity;0.67;Medium Toxicity;0.21;Medium Safety;0.34;Low Safety;0;High Safety;1;High Toxicity
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1;C10984;4042;Cypermethrin;0;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0.22;Medium Safety;0.01;High Safety;0.03;High Safety;0.2;Medium Safety;0.24;Medium Safety;0.02;High Safety;0.02;High Safety;0;High Safety;0.38;Low Safety;0.12;High Safety;0;High Safety;0.1;High Safety;0.51;Low Toxicity;0.99;High Toxicity;0.97;High Toxicity;1;High Toxicity;0.08;High Safety;0.96;High Toxicity;0;High Safety;0.36;Low Safety;0.04;High Safety;0.43;Low Safety;0.05;High Safety;0.14;High Safety;0.2;Medium Safety;0.04;High Safety;0.41;Low Safety
CC1=CC(=O)CC(C)(C)C1;C14743;34800;Isophorone;0;High Safety;0;High Safety;0.05;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.1;High Safety;0.5;Low Toxicity;0.55;Low Toxicity;0.72;Medium Toxicity;0.59;Low Toxicity;0.21;Medium Safety;0;High Safety;0.01;High Safety;0.85;High Toxicity;0.08;High Safety;0.15;High Safety;0.56;Low Toxicity;0.19;Medium Safety;0.99;High Toxicity;0.88;High Toxicity;0;High Safety
CC1=CC(C)=C(O)C=C1;C14582;34241;2.4-Dimethylphenol;0;High Safety;0;High Safety;0.03;High Safety;0;High Safety;0.05;High Safety;0.05;High Safety;0.02;High Safety;0;High Safety;0.08;High Safety;0.04;High Safety;0.03;High Safety;0;High Safety;0.07;High Safety;0.01;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.96;High Toxicity;0.99;High Toxicity;0.28;Medium Safety;0.15;High Safety;1;High Toxicity;0.32;Medium Safety;0.92;High Toxicity;0.03;High Safety;0.1;High Safety;0.42;Low Safety;0.33;Medium Safety;0.99;High Toxicity;1;High Toxicity;0.14;High Safety
Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O;C16391;46053;Trinitrotoluene;0;High Safety;0.01;High Safety;0.08;High Safety;0.09;High Safety;0.08;High Safety;0.02;High Safety;0.02;High Safety;0.24;Medium Safety;0.09;High Safety;0.36;Low Safety;0.01;High Safety;0.01;High Safety;0.49;Low Safety;0.06;High Safety;1;High Toxicity;0.8;Medium Toxicity;0.51;Low Toxicity;0.9;High Toxicity;1;High Toxicity;1;High Toxicity;0.01;High Safety;0;High Safety;0.16;High Safety;0.95;High Toxicity;0.02;High Safety;0.12;High Safety;1;High Toxicity;0.35;Low Safety;0.99;High Toxicity;0.23;Medium Safety;0;High Safety
