ko;genesymbol;genename;cpd;compoundclass;referenceAG;compoundname;enzyme_activity
K11188;PRDX6;peroxiredoxin 6 ;C00067;Aliphatic;PSL;Formaldehyde;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C00067;Aliphatic;IARC1;Formaldehyde;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C14440;Aliphatic;IARC2B;1,4-Dioxane;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C19191;Aromatic;IARC2B;ortho-Anisidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C16444;Nitrogen-containing;PSL;Benzidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C14403;Aromatic;IARC1;ortho-Toluidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C16444;Nitrogen-containing;IARC1;Benzidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C16444;Aromatic;PSL;Benzidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C14403;Nitrogen-containing;IARC1;ortho-Toluidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C11195;Nitrogen-containing;IARC2B;Mitoxantrone;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C16444;Nitrogen-containing;ATSDR;Benzidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C16444;Aromatic;ATSDR;Benzidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C14440;Aliphatic;ATSDR;1,4-Dioxane;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C11195;Polyaromatic;IARC2B;Mitoxantrone;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C19425;Polyaromatic;EPC;Fluoranthene;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C19191;Nitrogen-containing;IARC2B;ortho-Anisidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C19425;Polyaromatic;ATSDR;Fluoranthene;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C00067;Aliphatic;ATSDR;Formaldehyde;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C19425;Polyaromatic;EPA;Fluoranthene;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C16444;Aromatic;EPA;Benzidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C16444;Nitrogen-containing;EPA;Benzidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C16444;Aromatic;IARC1;Benzidine;peroxiredoxin 6
K11188;PRDX6;peroxiredoxin 6 ;C19425;Polyaromatic;WFD;Fluoranthene;peroxiredoxin 6
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C11146;Organometallic;WFD;Methylmercury chloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C11146;Chlorinated;IARC2B;Methylmercury chloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C19302;Nitrogen-containing;IARC2B;Thioacetamide;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C07561;Chlorinated;EPA;Carbon tetrachloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C11146;Chlorinated;EPC;Methylmercury chloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C07561;Chlorinated;EPC;Carbon tetrachloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C11146;Chlorinated;WFD;Methylmercury chloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C19302;Aliphatic;IARC2B;Thioacetamide;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C07561;Chlorinated;ATSDR;Carbon tetrachloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C11146;Organometallic;EPC;Methylmercury chloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C07561;Chlorinated;IARC2B;Carbon tetrachloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C07561;Chlorinated;CONAMA;Carbon tetrachloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C11146;Organometallic;IARC2B;Methylmercury chloride;ligase
K11204;GCLC;glutamate--cysteine ligase catalytic subunit ;C19302;Sulfur-containing;IARC2B;Thioacetamide;ligase
K11216;lsrK;autoinducer-2 kinase ;C11037;Aromatic;IARC2B;Chlorothalonil;kinase
K11216;lsrK;autoinducer-2 kinase ;C11037;Chlorinated;IARC2B;Chlorothalonil;kinase
K11216;lsrK;autoinducer-2 kinase ;C11037;Nitrogen-containing;IARC2B;Chlorothalonil;kinase
K11262;ACACA;acetyl-CoA carboxylase / biotin carboxylase 1 ;C11371;Polyaromatic;IARC2B;Nafenopin;carboxylase
K11263;bccA;acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein ;C11371;Polyaromatic;IARC2B;Nafenopin;carboxylase
K11265;ADCY10;adenylate cyclase 10 ;C15224;Metal;EPC;Tributyltin chloride;cyclase
K11265;ADCY10;adenylate cyclase 10 ;C15224;Organometallic;EPC;Tributyltin chloride;cyclase
K11265;ADCY10;adenylate cyclase 10 ;C15224;Organometallic;WFD;Tributyltin chloride;cyclase
K11265;ADCY10;adenylate cyclase 10 ;C15224;Metal;WFD;Tributyltin chloride;cyclase
K11311;antC;anthranilate 1,2-dioxygenase reductase component ;C00014;Nitrogen-containing;ATSDR;Ammonia;dioxygenase
K11311;antC;anthranilate 1,2-dioxygenase reductase component ;C00090;Aromatic;EPC;Catechol;dioxygenase
K11311;antC;anthranilate 1,2-dioxygenase reductase component ;C00090;Aromatic;WFD;Catechol;dioxygenase
K11311;antC;anthranilate 1,2-dioxygenase reductase component ;C00014;Nitrogen-containing;PSL;Ammonia;dioxygenase
K11311;antC;anthranilate 1,2-dioxygenase reductase component ;C00090;Aromatic;PSL;Catechol;dioxygenase
K11311;antC;anthranilate 1,2-dioxygenase reductase component ;C00090;Aromatic;IARC2B;Catechol;dioxygenase
K11311;antC;anthranilate 1,2-dioxygenase reductase component ;C00090;Aromatic;ATSDR;Catechol;dioxygenase
K11411;SIRT1;NAD-dependent protein deacetylase sirtuin 1 ;C14595;Nitrogen-containing;IARC2A;Methylnitrosourea;deacetylase
K11411;SIRT1;NAD-dependent protein deacetylase sirtuin 1 ;C14595;Aliphatic;IARC2A;Methylnitrosourea;deacetylase
K11412;SIRT2;NAD-dependent protein deacetylase sirtuin 2 ;C14595;Nitrogen-containing;IARC2A;Methylnitrosourea;deacetylase
K11412;SIRT2;NAD-dependent protein deacetylase sirtuin 2 ;C14595;Aliphatic;IARC2A;Methylnitrosourea;deacetylase
K11413;SIRT3;NAD-dependent protein deacetylase sirtuin 3 ;C14595;Nitrogen-containing;IARC2A;Methylnitrosourea;deacetylase
K11413;SIRT3;NAD-dependent protein deacetylase sirtuin 3 ;C14595;Aliphatic;IARC2A;Methylnitrosourea;deacetylase
K11414;SIRT4;NAD-dependent protein deacetylase/lipoamidase sirtuin 4 ;C14595;Nitrogen-containing;IARC2A;Methylnitrosourea;deacetylase
K11414;SIRT4;NAD-dependent protein deacetylase/lipoamidase sirtuin 4 ;C14595;Aliphatic;IARC2A;Methylnitrosourea;deacetylase
K11415;SIRT5;NAD-dependent protein deacetylase sirtuin 5 ;C14595;Nitrogen-containing;IARC2A;Methylnitrosourea;deacetylase
K11415;SIRT5;NAD-dependent protein deacetylase sirtuin 5 ;C14595;Aliphatic;IARC2A;Methylnitrosourea;deacetylase
K11416;SIRT6;NAD-dependent protein deacetylase sirtuin 6 ;C14595;Aliphatic;IARC2A;Methylnitrosourea;deacetylase
K11416;SIRT6;NAD-dependent protein deacetylase sirtuin 6 ;C14595;Nitrogen-containing;IARC2A;Methylnitrosourea;deacetylase
K11417;SIRT7;NAD-dependent protein deacetylase sirtuin 7 ;C14595;Aliphatic;IARC2A;Methylnitrosourea;deacetylase
K11417;SIRT7;NAD-dependent protein deacetylase sirtuin 7 ;C14595;Nitrogen-containing;IARC2A;Methylnitrosourea;deacetylase
K11440;gbsB;choline dehydrogenase ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
K11440;gbsB;choline dehydrogenase ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
K11440;gbsB;choline dehydrogenase ;C06899;Chlorinated;IARC2A;Chloral hydrate;dehydrogenase
K11440;gbsB;choline dehydrogenase ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
K11440;gbsB;choline dehydrogenase ;C06899;Aliphatic;IARC2A;Chloral hydrate;dehydrogenase
K11440;gbsB;choline dehydrogenase ;C00469;Aliphatic;IARC1;Ethanol;dehydrogenase
K11444;wspR;two-component system, chemotaxis family, response regulator WspR ;C07316;Nitrogen-containing;IARC2B;Sulfasalazine;#N/D
K11444;wspR;two-component system, chemotaxis family, response regulator WspR ;C07316;Polyaromatic;IARC2B;Sulfasalazine;#N/D
K11444;wspR;two-component system, chemotaxis family, response regulator WspR ;C07316;Sulfur-containing;IARC2B;Sulfasalazine;#N/D
K11445;KDM7A;[histone H3]-dimethyl-L-lysine9 demethylase ;C00067;Aliphatic;IARC1;Formaldehyde;demethylase
K11445;KDM7A;[histone H3]-dimethyl-L-lysine9 demethylase ;C00067;Aliphatic;PSL;Formaldehyde;demethylase
K11445;KDM7A;[histone H3]-dimethyl-L-lysine9 demethylase ;C00067;Aliphatic;ATSDR;Formaldehyde;demethylase
K11446;KDM5;[histone H3]-trimethyl-L-lysine4 demethylase ;C00067;Aliphatic;IARC1;Formaldehyde;demethylase
K11446;KDM5;[histone H3]-trimethyl-L-lysine4 demethylase ;C00067;Aliphatic;ATSDR;Formaldehyde;demethylase
K11446;KDM5;[histone H3]-trimethyl-L-lysine4 demethylase ;C00067;Aliphatic;PSL;Formaldehyde;demethylase
K11447;UTX;lysine-specific demethylase 6A ;C00067;Aliphatic;ATSDR;Formaldehyde;demethylase
K11447;UTX;lysine-specific demethylase 6A ;C00067;Aliphatic;IARC1;Formaldehyde;demethylase
K11447;UTX;lysine-specific demethylase 6A ;C00067;Aliphatic;PSL;Formaldehyde;demethylase
K11448;KDM6B;lysine-specific demethylase 6B ;C00067;Aliphatic;IARC1;Formaldehyde;demethylase
K11448;KDM6B;lysine-specific demethylase 6B ;C00067;Aliphatic;ATSDR;Formaldehyde;demethylase
K11448;KDM6B;lysine-specific demethylase 6B ;C00067;Aliphatic;PSL;Formaldehyde;demethylase
K11450;KDM1A;[histone H3]-N6,N6-dimethyl-L-lysine4 FAD-dependent demethylase ;C00067;Aliphatic;ATSDR;Formaldehyde;demethylase
K11450;KDM1A;[histone H3]-N6,N6-dimethyl-L-lysine4 FAD-dependent demethylase ;C00067;Aliphatic;IARC1;Formaldehyde;demethylase
K11450;KDM1A;[histone H3]-N6,N6-dimethyl-L-lysine4 FAD-dependent demethylase ;C00067;Aliphatic;PSL;Formaldehyde;demethylase
K11540;CAD;carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase ;C00014;Nitrogen-containing;PSL;Ammonia;synthase
K11540;CAD;carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase ;C00014;Nitrogen-containing;ATSDR;Ammonia;synthase
K11541;URA2;carbamoyl-phosphate synthase / aspartate carbamoyltransferase ;C00014;Nitrogen-containing;PSL;Ammonia;synthase
K11541;URA2;carbamoyl-phosphate synthase / aspartate carbamoyltransferase ;C00014;Nitrogen-containing;ATSDR;Ammonia;synthase
K11645;fbaB;fructose-bisphosphate aldolase, class I ;C17383;Inorganic;IARC2B;Cobaltous sulfate;aldolase
K11645;fbaB;fructose-bisphosphate aldolase, class I ;C17383;Metal;IARC2B;Cobaltous sulfate;aldolase
K11646;K11646;3-dehydroquinate synthase II ;C00014;Nitrogen-containing;PSL;Ammonia;synthase
K11646;K11646;3-dehydroquinate synthase II ;C00014;Nitrogen-containing;ATSDR;Ammonia;synthase
K11687;ADPRHL2;poly(ADP-ribose) glycohydrolase ARH3 ;C14592;Nitrogen-containing;IARC2A;N-Methyl-N'-nitro-N-nitrosoguanidine;glycohydrolase
K11687;ADPRHL2;poly(ADP-ribose) glycohydrolase ARH3 ;C14592;Inorganic;IARC2A;N-Methyl-N'-nitro-N-nitrosoguanidine;glycohydrolase
K11725;LHPP;phospholysine phosphohistidine inorganic pyrophosphate phosphatase ;C14711;Inorganic;WFD;Nickel chloride;phosphatase
K11725;LHPP;phospholysine phosphohistidine inorganic pyrophosphate phosphatase ;C14711;Chlorinated;PSL;Nickel chloride;phosphatase
K11725;LHPP;phospholysine phosphohistidine inorganic pyrophosphate phosphatase ;C14711;Inorganic;EPC;Nickel chloride;phosphatase
K11725;LHPP;phospholysine phosphohistidine inorganic pyrophosphate phosphatase ;C14711;Metal;WFD;Nickel chloride;phosphatase
K11725;LHPP;phospholysine phosphohistidine inorganic pyrophosphate phosphatase ;C14711;Inorganic;PSL;Nickel chloride;phosphatase
K11725;LHPP;phospholysine phosphohistidine inorganic pyrophosphate phosphatase ;C14711;Chlorinated;WFD;Nickel chloride;phosphatase
K11725;LHPP;phospholysine phosphohistidine inorganic pyrophosphate phosphatase ;C14711;Metal;PSL;Nickel chloride;phosphatase
K11725;LHPP;phospholysine phosphohistidine inorganic pyrophosphate phosphatase ;C14711;Chlorinated;EPC;Nickel chloride;phosphatase
K11725;LHPP;phospholysine phosphohistidine inorganic pyrophosphate phosphatase ;C14711;Metal;EPC;Nickel chloride;phosphatase
K11751;ushA;5'-nucleotidase / UDP-sugar diphosphatase ;C07561;Chlorinated;CONAMA;Carbon tetrachloride;nucleotidase
K11751;ushA;5'-nucleotidase / UDP-sugar diphosphatase ;C07561;Chlorinated;EPC;Carbon tetrachloride;nucleotidase
K11751;ushA;5'-nucleotidase / UDP-sugar diphosphatase ;C07561;Chlorinated;IARC2B;Carbon tetrachloride;nucleotidase
K11751;ushA;5'-nucleotidase / UDP-sugar diphosphatase ;C07561;Chlorinated;EPA;Carbon tetrachloride;nucleotidase
K11751;ushA;5'-nucleotidase / UDP-sugar diphosphatase ;C19302;Nitrogen-containing;IARC2B;Thioacetamide;nucleotidase
K11751;ushA;5'-nucleotidase / UDP-sugar diphosphatase ;C07210;Nitrogen-containing;IARC2B;Zidovudine;nucleotidase
K11751;ushA;5'-nucleotidase / UDP-sugar diphosphatase ;C07561;Chlorinated;ATSDR;Carbon tetrachloride;nucleotidase
K11751;ushA;5'-nucleotidase / UDP-sugar diphosphatase ;C19302;Aliphatic;IARC2B;Thioacetamide;nucleotidase
K11751;ushA;5'-nucleotidase / UDP-sugar diphosphatase ;C19302;Sulfur-containing;IARC2B;Thioacetamide;nucleotidase
K11752;ribD;diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase ;C00014;Nitrogen-containing;PSL;Ammonia;deaminase
K11752;ribD;diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase ;C00014;Nitrogen-containing;ATSDR;Ammonia;deaminase
K11779;fbiC;FO synthase ;C00014;Nitrogen-containing;PSL;Ammonia;synthase
K11779;fbiC;FO synthase ;C00014;Nitrogen-containing;ATSDR;Ammonia;synthase
K11780;cofG;7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase ;C00014;Nitrogen-containing;ATSDR;Ammonia;synthase
K11780;cofG;7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase ;C00014;Nitrogen-containing;PSL;Ammonia;synthase
K11819;SUR1;S-alkyl-thiohydroximate lyase SUR1 ;C00014;Nitrogen-containing;ATSDR;Ammonia;lyase
K11819;SUR1;S-alkyl-thiohydroximate lyase SUR1 ;C00014;Nitrogen-containing;PSL;Ammonia;lyase
K11821;ST5A;aromatic desulfoglucosinolate sulfotransferase ;C15234;Inorganic;WFD;Lead nitrate;sulfotransferase
K11821;ST5A;aromatic desulfoglucosinolate sulfotransferase ;C15234;Nitrogen-containing;WFD;Lead nitrate;sulfotransferase
K11821;ST5A;aromatic desulfoglucosinolate sulfotransferase ;C15234;Inorganic;EPC;Lead nitrate;sulfotransferase
K11821;ST5A;aromatic desulfoglucosinolate sulfotransferase ;C15234;Metal;EPC;Lead nitrate;sulfotransferase
K11821;ST5A;aromatic desulfoglucosinolate sulfotransferase ;C15234;Metal;WFD;Lead nitrate;sulfotransferase
K11821;ST5A;aromatic desulfoglucosinolate sulfotransferase ;C15234;Nitrogen-containing;EPC;Lead nitrate;sulfotransferase
K11915;stp1;serine/threonine protein phosphatase Stp1 ;C10984;Nitrogen-containing;EPC;Cypermethrin;phosphatase
K11915;stp1;serine/threonine protein phosphatase Stp1 ;C10984;Polyaromatic;EPC;Cypermethrin;phosphatase
K11915;stp1;serine/threonine protein phosphatase Stp1 ;C10984;Chlorinated;EPC;Cypermethrin;phosphatase
K11943;nidA;PAH dioxygenase large subunit ;C04468;Polyaromatic;PSL;(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;dioxygenase
K11943;nidA;PAH dioxygenase large subunit ;C11422;Polyaromatic;ATSDR;Phenanthrene;dioxygenase
K11943;nidA;PAH dioxygenase large subunit ;C11422;Polyaromatic;CONAMA;Phenanthrene;dioxygenase
K11943;nidA;PAH dioxygenase large subunit ;C11422;Polyaromatic;EPA;Phenanthrene;dioxygenase
K11943;nidA;PAH dioxygenase large subunit ;C04468;Polyaromatic;ATSDR;(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;dioxygenase
K11943;nidA;PAH dioxygenase large subunit ;C11422;Polyaromatic;EPC;Phenanthrene;dioxygenase
K11943;nidA;PAH dioxygenase large subunit ;C11422;Polyaromatic;WFD;Phenanthrene;dioxygenase
K11943;nidA;PAH dioxygenase large subunit ;C04468;Polyaromatic;EPC;(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;dioxygenase
K11943;nidA;PAH dioxygenase large subunit ;C04468;Polyaromatic;WFD;(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;dioxygenase
K11943;nidA;PAH dioxygenase large subunit ;C11422;Polyaromatic;PSL;Phenanthrene;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C04468;Polyaromatic;WFD;(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C04468;Polyaromatic;ATSDR;(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C11422;Polyaromatic;EPA;Phenanthrene;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C11422;Polyaromatic;EPC;Phenanthrene;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C11422;Polyaromatic;WFD;Phenanthrene;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C11422;Polyaromatic;CONAMA;Phenanthrene;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C04468;Polyaromatic;EPC;(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C11422;Polyaromatic;ATSDR;Phenanthrene;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C04468;Polyaromatic;PSL;(+)-cis-3,4-Dihydrophenanthrene-3,4-diol;dioxygenase
K11944;nidB;PAH dioxygenase small subunit ;C11422;Polyaromatic;PSL;Phenanthrene;dioxygenase
K11945;phdF;extradiol dioxygenase ;C03164;Polyaromatic;WFD;Phenanthrene-3,4-diol;dioxygenase
K11945;phdF;extradiol dioxygenase ;C03164;Polyaromatic;EPC;Phenanthrene-3,4-diol;dioxygenase
K11945;phdF;extradiol dioxygenase ;C03164;Polyaromatic;PSL;Phenanthrene-3,4-diol;dioxygenase
K11945;phdF;extradiol dioxygenase ;C03164;Polyaromatic;ATSDR;Phenanthrene-3,4-diol;dioxygenase
K11946;phdG;hydratase-aldolase ;C11427;Polyaromatic;ATSDR;1-Hydroxy-2-naphthaldehyde;hydratase
K11946;phdG;hydratase-aldolase ;C11427;Polyaromatic;EPC;1-Hydroxy-2-naphthaldehyde;hydratase
K11946;phdG;hydratase-aldolase ;C11427;Polyaromatic;WFD;1-Hydroxy-2-naphthaldehyde;hydratase
K11946;phdG;hydratase-aldolase ;C11427;Polyaromatic;PSL;1-Hydroxy-2-naphthaldehyde;hydratase
K11947;nidD;aldehyde dehydrogenase ;C03203;Polyaromatic;PSL;1-Hydroxy-2-naphthoate;dehydrogenase
K11947;nidD;aldehyde dehydrogenase ;C11427;Polyaromatic;EPC;1-Hydroxy-2-naphthaldehyde;dehydrogenase
K11947;nidD;aldehyde dehydrogenase ;C03203;Polyaromatic;WFD;1-Hydroxy-2-naphthoate;dehydrogenase
K11947;nidD;aldehyde dehydrogenase ;C03203;Polyaromatic;EPC;1-Hydroxy-2-naphthoate;dehydrogenase
K11947;nidD;aldehyde dehydrogenase ;C11427;Polyaromatic;PSL;1-Hydroxy-2-naphthaldehyde;dehydrogenase
K11947;nidD;aldehyde dehydrogenase ;C11427;Polyaromatic;ATSDR;1-Hydroxy-2-naphthaldehyde;dehydrogenase
K11947;nidD;aldehyde dehydrogenase ;C11427;Polyaromatic;WFD;1-Hydroxy-2-naphthaldehyde;dehydrogenase
K11947;nidD;aldehyde dehydrogenase ;C03203;Polyaromatic;ATSDR;1-Hydroxy-2-naphthoate;dehydrogenase
K11948;phdI;1-hydroxy-2-naphthoate dioxygenase ;C16149;Aromatic;EPC;(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate;dioxygenase
K11948;phdI;1-hydroxy-2-naphthoate dioxygenase ;C03203;Polyaromatic;ATSDR;1-Hydroxy-2-naphthoate;dioxygenase
K11948;phdI;1-hydroxy-2-naphthoate dioxygenase ;C03203;Polyaromatic;EPC;1-Hydroxy-2-naphthoate;dioxygenase
K11948;phdI;1-hydroxy-2-naphthoate dioxygenase ;C16149;Aromatic;PSL;(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate;dioxygenase
K11948;phdI;1-hydroxy-2-naphthoate dioxygenase ;C16149;Aromatic;ATSDR;(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate;dioxygenase
K11948;phdI;1-hydroxy-2-naphthoate dioxygenase ;C16149;Aromatic;WFD;(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate;dioxygenase
K11948;phdI;1-hydroxy-2-naphthoate dioxygenase ;C03203;Polyaromatic;PSL;1-Hydroxy-2-naphthoate;dioxygenase
K11948;phdI;1-hydroxy-2-naphthoate dioxygenase ;C03203;Polyaromatic;WFD;1-Hydroxy-2-naphthoate;dioxygenase
K11949;phdJ;4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase ;C16149;Aromatic;EPC;(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate;aldolase
K11949;phdJ;4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase ;C03057;Aromatic;PSL;2-Carboxybenzaldehyde;aldolase
K11949;phdJ;4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase ;C16149;Aromatic;WFD;(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate;aldolase
K11949;phdJ;4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase ;C03057;Aromatic;EPC;2-Carboxybenzaldehyde;aldolase
K11949;phdJ;4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase ;C16149;Aromatic;ATSDR;(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate;aldolase
K11949;phdJ;4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase ;C03057;Aromatic;ATSDR;2-Carboxybenzaldehyde;aldolase
K11949;phdJ;4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase ;C16149;Aromatic;PSL;(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate;aldolase
K11949;phdJ;4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase ;C03057;Aromatic;WFD;2-Carboxybenzaldehyde;aldolase
K11991;tadA;tRNA(adenine34) deaminase ;C00014;Nitrogen-containing;PSL;Ammonia;deaminase
K11991;tadA;tRNA(adenine34) deaminase ;C00014;Nitrogen-containing;ATSDR;Ammonia;deaminase
K12238;pchD;salicylate---[aryl-carrier protein] ligase ;C00805;Aromatic;EPC;Salicylate;ligase
K12238;pchD;salicylate---[aryl-carrier protein] ligase ;C00805;Aromatic;PSL;Salicylate;ligase
K12238;pchD;salicylate---[aryl-carrier protein] ligase ;C00805;Aromatic;WFD;Salicylate;ligase
K12238;pchD;salicylate---[aryl-carrier protein] ligase ;C00805;Aromatic;ATSDR;Salicylate;ligase
K12251;aguB;N-carbamoylputrescine amidase ;C00014;Nitrogen-containing;PSL;Ammonia;amidase
K12251;aguB;N-carbamoylputrescine amidase ;C00014;Nitrogen-containing;ATSDR;Ammonia;amidase
K12298;CEL;bile salt-stimulated lipase ;C14214;Aromatic;EPA;Dibutyl phthalate;lipase
K12298;CEL;bile salt-stimulated lipase ;C14449;Aliphatic;IARC2A;Epichlorohydrin;lipase
K12298;CEL;bile salt-stimulated lipase ;C14214;Aromatic;CONAMA;Dibutyl phthalate;lipase
K12298;CEL;bile salt-stimulated lipase ;C14214;Aromatic;ATSDR;Dibutyl phthalate;lipase
K12298;CEL;bile salt-stimulated lipase ;C13701;Aromatic;IARC2B;2-(4-Chlorophenoxy)propionic acid;lipase
K12298;CEL;bile salt-stimulated lipase ;C13701;Chlorinated;IARC2B;2-(4-Chlorophenoxy)propionic acid;lipase
K12298;CEL;bile salt-stimulated lipase ;C14214;Aromatic;PSL;Dibutyl phthalate;lipase
K12298;CEL;bile salt-stimulated lipase ;C14449;Chlorinated;IARC2A;Epichlorohydrin;lipase
K12298;CEL;bile salt-stimulated lipase ;C14175;Aromatic;EPA;Diethyl phthalate;lipase
K12357;NEU2_3_4;sialidase-2/3/4 ;C10312;Aromatic;IARC2B;Danthron;sialidase
K12410;cobB;NAD-dependent protein deacetylase/lipoamidase ;C14595;Nitrogen-containing;IARC2A;Methylnitrosourea;deacetylase
K12410;cobB;NAD-dependent protein deacetylase/lipoamidase ;C14595;Aliphatic;IARC2A;Methylnitrosourea;deacetylase
K12452;ascC;CDP-4-dehydro-6-deoxyglucose reductase, E1 ;C11195;Nitrogen-containing;IARC2B;Mitoxantrone;reductase
K12452;ascC;CDP-4-dehydro-6-deoxyglucose reductase, E1 ;C11195;Polyaromatic;IARC2B;Mitoxantrone;reductase
K12467;E4.2.3.15;myrcene/ocimene synthase ;C06074;Aliphatic;IARC2B;Myrcene;synthase
K12550;LPO;lactoperoxidase ;C16444;Aromatic;PSL;Benzidine;lactoperoxidase
K12550;LPO;lactoperoxidase ;C19425;Polyaromatic;ATSDR;Fluoranthene;lactoperoxidase
K12550;LPO;lactoperoxidase ;C16444;Aromatic;ATSDR;Benzidine;lactoperoxidase
K12550;LPO;lactoperoxidase ;C00067;Aliphatic;IARC1;Formaldehyde;lactoperoxidase
K12550;LPO;lactoperoxidase ;C14403;Nitrogen-containing;IARC1;ortho-Toluidine;lactoperoxidase
K12550;LPO;lactoperoxidase ;C14219;Aromatic;ATSDR;2-Chlorophenol;lactoperoxidase
K12550;LPO;lactoperoxidase ;C14219;Chlorinated;CONAMA;2-Chlorophenol;lactoperoxidase
K12550;LPO;lactoperoxidase ;C19425;Polyaromatic;WFD;Fluoranthene;lactoperoxidase
K12550;LPO;lactoperoxidase ;C19425;Polyaromatic;EPC;Fluoranthene;lactoperoxidase
K12550;LPO;lactoperoxidase ;C16444;Nitrogen-containing;EPA;Benzidine;lactoperoxidase
